DATA INVENTARIS BARANG SMK MUHAMMADIYAH 12 - TAHUN 2025,,,,,,,,,,,
NO,NAMA BARANG,MERK,KODE BARANG,TAHUN PENGADAAN,"FREKUENSI PEMAKAIAN
(1-5)","UMUR BARANG
(Tahun)","KONDISI FISIK
(1-5)","KELENGKAPAN
(1-5)",LABEL KONDISI,KETERANGAN,KATEGORI
55,MIKROTIK RB941-2ND-TC,Mikrotik,USKMAMRK0052023,2025,5,1,5,4,LAYAK,—,Perangkat Jaringan
56,MIKROTIK RB941-2ND-TC,Mikrotik,USKMAMRK0062023,2025,5,1,5,4,LAYAK,—,Perangkat Jaringan
57,MIKROTIK RB941-2ND-TC,Mikrotik,USKMAMRK0072023,2025,5,1,5,4,LAYAK,—,Perangkat Jaringan
58,MIKROTIK RB941-2ND-TC,Mikrotik,USKMAMRK0082023,2025,5,1,5,4,LAYAK,—,Perangkat Jaringan
59,MIKROTIK RB941-2ND-TC,Mikrotik,USKMAMRK0092023,2025,5,1,5,4,LAYAK,—,Perangkat Jaringan
60,MIKROTIK RB941-2ND-TC,Mikrotik,USKMAMRK0102023,2025,5,1,5,4,LAYAK,—,Perangkat Jaringan
61,MIKROTIK RB941-2ND-TC,Mikrotik,USKMAMRK0112023,2025,5,1,5,4,LAYAK,—,Perangkat Jaringan
62,MIKROTIK RB941-2ND-TC,Mikrotik,USKMAMRK0122023,2025,5,1,5,4,LAYAK,—,Perangkat Jaringan
63,MIKROTIK RB941-2ND-TC,Mikrotik,USKMAMRK0132023,2025,5,1,5,4,LAYAK,—,Perangkat Jaringan
64,MIKROTIK RB941-2ND-TC,Mikrotik,USKMAMRK0142023,2025,5,1,5,4,LAYAK,—,Perangkat Jaringan
65,MIKROTIK RB941-2ND-TC,Mikrotik,USKMAMRK0152023,2025,5,1,5,4,LAYAK,—,Perangkat Jaringan
66,MIKROTIK RB941-2ND-TC,Mikrotik,USKMAMRK0162023,2025,5,1,5,4,LAYAK,—,Perangkat Jaringan
67,MIKROTIK RB941-2ND-TC,Mikrotik,USKMAMRK0172023,—,—,—,—,—,TIDAK DIKETAHUI,Tidak ditemukan,Perangkat Jaringan
68,MIKROTIK RB941-2ND-TC,Mikrotik,—,—,—,—,—,—,TIDAK DIKETAHUI,Kode tidak ada,Perangkat Jaringan
