DATA INVENTARIS BARANG SMK MUHAMMADIYAH 12 - TAHUN 2025,,,,,,,,,,,
NO,NAMA BARANG,MERK,KODE BARANG,TAHUN PENGADAAN,"FREKUENSI PEMAKAIAN
(1-5)","UMUR BARANG
(Tahun)","KONDISI FISIK
(1-5)","KELENGKAPAN
(1-5)",LABEL KONDISI,KETERANGAN,KATEGORI
218,KABEL POWER AP,—,—,—,—,—,—,—,TIDAK DIKETAHUI,Belum didata,Perangkat Jaringan
219,KABEL POWER AP,—,USKMAKP0042023,2025,5,1,5,4,LAYAK,—,Perangkat Jaringan
220,KABEL POWER AP,—,USKMAKP0052023,2025,5,1,5,4,LAYAK,—,Perangkat Jaringan
221,KABEL POWER AP,—,USKMAKP0062023,2025,5,1,5,4,LAYAK,—,Perangkat Jaringan
222,KABEL POWER AP,—,USKMAKP0072023,2025,5,1,5,4,LAYAK,—,Perangkat Jaringan
223,KABEL POWER AP,—,USKMAKP0082023,2024,3,4,2,2,KURANG LAYAK,—,Perangkat Jaringan
224,KABEL POWER AP,—,USKMAKP0092023,2025,5,1,5,4,LAYAK,—,Perangkat Jaringan
225,KABEL POWER AP,—,USKMAKP0102023,2025,5,1,5,4,LAYAK,—,Perangkat Jaringan
226,KABEL POWER AP,—,USKMAKP0112023,2025,5,1,5,4,LAYAK,—,Perangkat Jaringan
227,KABEL POWER AP,—,—,—,—,—,—,—,TIDAK DIKETAHUI,Kode tidak ada,Perangkat Jaringan
228,KABEL POWER AP,—,USKMAKP0132023,2025,5,1,5,4,LAYAK,—,Perangkat Jaringan
229,KABEL POWER AP,—,—,—,—,—,—,—,TIDAK DIKETAHUI,Kode tidak ada,Perangkat Jaringan
230,PEMBOLONG KERTAS KECIL,—,USKMAPK0012023,2025,5,1,5,4,LAYAK,—,Alat & Perkakas
231,PEMBOLONG KERTAS KECIL,—,USKMAPK0022023,2025,5,1,5,4,LAYAK,—,Alat & Perkakas
232,PEMBOLONG KERTAS KECIL,—,USKMAPK0032023,2025,5,1,5,4,LAYAK,—,Alat & Perkakas
233,PEMBOLONG KERTAS BESAR,—,USKMAPK0042023,2025,5,1,5,4,LAYAK,—,Alat & Perkakas
234,STAPLES,—,USKMASP0012023,2025,5,1,5,4,LAYAK,—,Perangkat Jaringan
235,STAPLES,—,USKMASP0022023,2025,5,1,5,4,LAYAK,—,Perangkat Jaringan
236,ROUTERBOARD RB951Ui-2HnD,Mikrotik,PRKMRK0072023,2025,5,1,5,4,LAYAK,—,Perangkat Jaringan
237,KONEKTOR RJ45,Belden,—,2025,5,1,5,4,LAYAK,—,Kabel & Aksesori
238,KABEL UTP,Belden,—,2025,5,1,4,4,LAYAK,1 Box,Kabel & Aksesori
